trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.5142735277066319}",25,18,0.3375733787631967,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,5,5.174520287678709,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,0,-87.52808285620227,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.5066169923655897}",20,0,-90.46647257152543,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.5040902295748255}",25,8,-84.04268831372865,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.5015760690660556}",30,0,-57.359364146736894,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.49907444798513595}",20,0,-36.88564536759231,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.4965853037914095}",20,0,-32.38281822389515,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.49410857425614174}",20,0,-26.482772756162767,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.49164419746096516}",20,3,-19.004421725625466,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.48919211179633154}",20,8,-36.80753758393936,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,1,8.341014412491,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.4843245689553625}",20,2,-12.248176791308117,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-38.52912261861948,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.4795054589748941}",20,0,-20.751077671409,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.47711391552103444}",25,14,-16.69880385853272,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.47473429993991245}",30,16,-39.65845494051399,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.47236655274101474}",20,0,16.17267993527302,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.470010614730538}",20,0,-71.95968160615813,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,14,-2.7994116985946844,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.4653339309743134}",25,15,-25.82203718944453,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-40.33075461712672,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.4607037809989658}",20,12,-40.258992444831435,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.45840601130522357}",25,7,-5.211360554750497,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.45611970178563926}",30,9,-35.94331427145068,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,0,-19.437535672376814,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.4515812349225922}",25,0,20.14491774403699,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.44932896411722156}",35,0,-105.46278762090189,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.4470879265593564}",35,8,-131.09270955244205,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,11,0.9992840079438006,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.4426393273613511}",25,7,-69.83699941545476,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,7,-53.676004998315726,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.43823499246494924}",30,11,-0.42485130715820363,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,0,1.8764030123373823,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.43387448143299095}",20,14,-71.85783681059114,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,9,-26.352609631439297,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
